Id,Label,Tweetword,Date
399,ProofofVenom,time warner,Mon Apr 06 22:45:54 PDT 2009
400,flywire,time warner,Mon Apr 06 22:46:14 PDT 2009
401,batchoutlost,time warner,Mon Apr 06 22:46:16 PDT 2009
402,floatingatoll,time warner,Mon Apr 06 22:46:20 PDT 2009
403,kippy2,time warner,Mon Apr 06 22:46:24 PDT 2009
404,iamtony,time warner,Mon Apr 06 22:46:22 PDT 2009
405,dcwhip,time warner,Mon Apr 06 22:46:24 PDT 2009
406,JustGLB,time warner,Mon Apr 06 22:46:27 PDT 2009
407,chaneykyoto,time warner,Mon Apr 06 22:46:32 PDT 2009
408,ldmullen,time warner,Mon Apr 06 22:46:36 PDT 2009
409,JohnTurlington,time warner,Mon Apr 06 22:46:40 PDT 2009
410,johnscleary,time warner,Mon Apr 06 22:46:44 PDT 2009
411,ecormany,time warner,Mon Apr 06 22:46:48 PDT 2009
412,matsonj,time warner,Mon Apr 06 22:46:53 PDT 2009
413,YildirimNews,china,Mon Apr 06 22:46:55 PDT 2009
414,zedomax,china,Mon Apr 06 22:46:57 PDT 2009
415,theprovince,gm,Mon Apr 06 22:47:05 PDT 2009
416,PeteHall,gm,Mon Apr 06 22:47:22 PDT 2009
417,ram_zone,gm,Mon Apr 06 22:47:21 PDT 2009
418,irishyanks,yankees,Mon Apr 06 22:47:28 PDT 2009
419,Erinthebigsis,dentist,Mon Apr 06 22:47:32 PDT 2009
420,cassieeeelove,dentist,Mon Apr 06 22:47:40 PDT 2009
421,johnnyt183,dentist,Mon Apr 06 22:47:41 PDT 2009
422,b_bassi,dentist,Mon Apr 06 22:47:56 PDT 2009
423,cmg11,dentist,Mon Apr 06 22:47:58 PDT 2009
424,arianaflyy,dentist,Mon Apr 06 22:48:00 PDT 2009
425,jettellis,dentist,Mon Apr 06 22:48:00 PDT 2009
426,AdiOpERsOcoM,dentist,Mon Apr 06 22:48:02 PDT 2009
427,HallofChampions,baseball,Mon Apr 06 22:48:02 PDT 2009
428,SimpleManJess,baseball,Mon Apr 06 22:48:03 PDT 2009
429,Oregon_Live,baseball,Mon Apr 06 22:48:04 PDT 2009
430,AirDye,safeway,Mon Apr 06 22:48:08 PDT 2009
431,csquaredx,safeway,Mon Apr 06 22:48:10 PDT 2009
432,XPhile1908,safeway,Mon Apr 06 22:48:13 PDT 2009
433,LaurenAmor,safeway,Mon Apr 06 22:48:14 PDT 2009
434,TravisJensenSF,safeway,Mon Apr 06 22:48:17 PDT 2009
435,Lovely_Lauren,safeway,Mon Apr 06 22:48:19 PDT 2009
436,fugface85,safeway,Mon Apr 06 22:48:23 PDT 2009
437,_JessicaJOY,safeway,Mon Apr 06 22:48:32 PDT 2009
438,mobileadgirl,safeway,Mon Apr 06 22:48:32 PDT 2009
439,m_marchesi,driving,Mon Apr 06 22:48:34 PDT 2009
440,TheDebtress,eating,Mon Apr 06 22:48:35 PDT 2009
441,face_of_boe,eating,Mon Apr 06 22:48:37 PDT 2009
442,LaraAvni,eating,Mon Apr 06 22:48:38 PDT 2009
443,elpasira,eating,Mon Apr 06 22:48:42 PDT 2009
444,Fitness_101,eating,Mon Apr 06 22:48:48 PDT 2009
445,ohmurder,eating,Mon Apr 06 22:48:50 PDT 2009
446,whoaoblivious,eating,Mon Apr 06 22:48:53 PDT 2009
447,stefanjos,nike,Mon Apr 06 22:48:54 PDT 2009
448,nsborg,nike,Mon Apr 06 22:49:51 PDT 2009
449,marieforleo,nike,Mon Apr 06 22:49:55 PDT 2009
450,imflashy,nike,Mon Apr 06 22:49:55 PDT 2009
451,TheGlossMagazin,nike,Mon Apr 06 22:49:57 PDT 2009
452,MiniGreek,nike,Mon Apr 06 22:49:58 PDT 2009
453,TracySuter,nike,Mon Apr 06 22:50:03 PDT 2009
454,TobyJuanKenobi,jquery,Mon Apr 06 22:50:11 PDT 2009
455,inBlogs,jquery,Mon Apr 06 22:50:17 PDT 2009
456,vmkobs,jquery,Mon Apr 06 22:50:19 PDT 2009
457,ghurson,jquery,Mon Apr 06 22:50:28 PDT 2009
458,5x1llz,jquery,Mon Apr 06 22:50:34 PDT 2009
459,bryall,jquery,Mon Apr 06 22:50:43 PDT 2009
460,vmkobs,jquery,Mon Apr 06 22:50:48 PDT 2009
461,maheshcha,jquery,Mon Apr 06 22:50:49 PDT 2009
462,MyBenchmarkMtg,warren buffet,Mon Apr 06 22:50:51 PDT 2009
463,PragCapitalist,warren buffet,Mon Apr 06 22:50:58 PDT 2009
464,SmartMouthBroad,warren buffet,Mon Apr 06 22:51:00 PDT 2009
465,goncalol,warren buffet,Mon Apr 06 22:51:13 PDT 2009
466,BobtheRobot,notre dame school,Mon Apr 06 22:51:14 PDT 2009
467,Hittman,time warner,Mon Apr 06 22:51:17 PDT 2009
468,aiban,federer,Mon Apr 06 22:51:19 PDT 2009
469,nyctimes,kindle2,Mon Apr 06 22:51:24 PDT 2009
470,k8tb52,kindle2,Mon Apr 06 22:51:25 PDT 2009
471,taylorcarrigan,atandt,Mon Apr 06 22:51:26 PDT 2009
472,susanjane,atandt,Mon Apr 06 22:51:27 PDT 2009
473,stick08,atandt,Mon Apr 06 22:51:33 PDT 2009
474,CaptainCraigos,atandt,Mon Apr 06 22:51:34 PDT 2009
475,iPhoneFuzzball,atandt,Mon Apr 06 22:51:34 PDT 2009
476,itsolivia,atandt,Mon Apr 06 22:51:40 PDT 2009
477,kyrabeckf,wave sandbox,Mon Apr 06 22:51:44 PDT 2009
478,auxesis,summize,Mon Apr 06 22:51:46 PDT 2009
479,deedeewarren,kindle2,Mon Apr 06 22:51:48 PDT 2009
480,RogerSPress,kindle2,Mon Apr 06 22:51:49 PDT 2009
481,kmozena,kindle2,Mon Apr 06 22:51:50 PDT 2009
482,Jesssssii,iphone app,Mon Apr 06 22:51:51 PDT 2009
483,jimhong,kindle2,Mon Apr 06 22:51:52 PDT 2009
484,Ant_Ward,kindle2,Mon Apr 06 22:51:53 PDT 2009
485,popitlockit,google,Mon Apr 06 22:51:59 PDT 2009
486,FionaSarah,visa card,Mon Apr 06 22:52:07 PDT 2009
487,MalloryRayne,visa card,Mon Apr 06 22:52:06 PDT 2009
488,_abi_,visa card,Mon Apr 06 22:52:11 PDT 2009
489,sfkerropi6,Bobby Flay,Mon Apr 06 22:52:13 PDT 2009
490,tessalau,Bobby Flay,Mon Apr 06 22:52:19 PDT 2009
491,ZFilth,Bobby Flay,Mon Apr 06 22:52:18 PDT 2009
492,annieblane,Bobby Flay,Mon Apr 06 22:52:21 PDT 2009
493,LAURAcBRYAN,Bobby Flay,Mon Apr 06 22:52:23 PDT 2009
494,NathanChalmers,latex,Mon Apr 06 22:52:25 PDT 2009
495,LoonyLongbottom,latex,Mon Apr 06 22:52:27 PDT 2009
496,QuadError,latex,Mon Apr 06 22:52:31 PDT 2009
497,musicmuse,iran,Mon Apr 06 22:52:38 PDT 2009
498,sketoaks,iran,Mon Apr 06 22:52:39 PDT 2009
499,jamespenycate,iran,Mon Apr 06 22:52:42 PDT 2009
500,boardcentral,aapl,Mon Apr 06 22:52:40 PDT 2009
501,JimFacey,Bobby Flay,Mon Apr 06 22:52:44 PDT 2009
502,wetfishdesigns,Bobby Flay,Mon Apr 06 22:52:47 PDT 2009
503,A_TALL_BLONDE,Bobby Flay,Mon Apr 06 22:52:50 PDT 2009
504,rooney_tunes,latex,Mon Apr 06 22:52:50 PDT 2009
505,roguemovement,latex,Mon Apr 06 22:52:51 PDT 2009
506,yomcat,latex,Mon Apr 06 22:52:56 PDT 2009
507,proggit,latex,Mon Apr 06 22:52:59 PDT 2009
508,sam33r,latex,Mon Apr 06 22:53:04 PDT 2009
509,iamtheonlyjosie,latex,Mon Apr 06 22:53:06 PDT 2009
510,plutopup7,iran,Mon Apr 06 22:53:14 PDT 2009
511,captain_pete,iran,Mon Apr 06 22:53:15 PDT 2009
512,princezzcutz,kindle2,Mon Apr 06 22:56:37 PDT 2009
513,rooney_tunes,kindle2,Mon Apr 06 22:54:50 PDT 2009
514,wetfishdesigns,kindle2,Mon Apr 06 22:52:20 PDT 2009
515,ghurson,latex,Mon Apr 06 22:40:28 PDT 2009
516,5x1llz,federer,Mon Apr 06 22:55:34 PDT 2009
517,bryall,latex,Mon Apr 06 22:56:43 PDT 2009
518,aykataoka,gm,Mon Apr 06 22:54:34 PDT 2009
519,Bcapote,latex,Mon Apr 06 22:52:48 PDT 2009
520,crikket_churps,kindle2,Mon Apr 06 22:50:52 PDT 2009
521,ZendoDeb,time warner,Mon Apr 06 22:46:33 PDT 2009
522,rbmshow,time warner,Mon Apr 06 22:45:52 PDT 2009
523,Ash_Craigslist,time warner,Mon Apr 06 22:45:49 PDT 2009
524,BarackProblema,time warner,Mon Apr 06 22:45:41 PDT 2009
525,XPhile1908,baseball,Mon Apr 06 22:48:19 PDT 2009
526,LaurenAmor,baseball,Mon Apr 06 22:48:20 PDT 2009
527,TravisJensenSF,baseball,Mon Apr 06 22:48:27 PDT 2009
528,Lovely_Lauren,driving,Mon Apr 06 22:48:29 PDT 2009
529,fugface85,driving,Mon Apr 06 22:48:33 PDT 2009
530,sportsgirl505,obama,Mon Apr 06 22:24:28 PDT 2009
531,MatrixSystems,obama,Mon Apr 06 22:25:30 PDT 2009
532,cadburysgirl,obama,Mon Apr 06 22:26:35 PDT 2009
533,AddictedToFresh,obama,Mon Apr 06 22:23:41 PDT 2009
534,coreysmbpro,obama,Mon Apr 06 22:23:42 PDT 2009
535,PRolivia,obama,Mon Apr 06 22:23:45 PDT 2009
536,cadburysgirl,kindle2,Mon Apr 06 22:23:44 PDT 2009
537,AddictedToFresh,kindle2,Mon Apr 06 22:23:50 PDT 2009
538,coreysmbpro,kindle2,Mon Apr 06 22:23:53 PDT 2009
539,Native_01,obama,Mon Apr 06 22:20:38 PDT 2009
540,princezzcutz,obama,Mon Apr 06 22:20:41 PDT 2009
541,peterlikewhat,obama,Mon Apr 06 22:20:48 PDT 2009
